"Line","Identifier1","Identifier2","Method","Amount","PeakNr","IsRef_","StartN","EndN","AreaAllN","AmtPctN","BGD28","BGD29","Ampl28","Ampl29","rR29N2_28N2","d15N_14N","TimeCode","Comment","StartC","WidthC","AreaAllC","AmtPctC","BGD44","BGD45","BGD46","Ampl44","Ampl45","Ampl46","rR45CO2_44CO2","rR46CO2_44CO2","d13C_12C","d18O_16O","ln_AreaN","d15N_lc","d15N_cal","d13C_cal","Npct","Cpct","cnPercentQF","cnIsotopeQF","percentAccuracyQF","isotopeAccuracyQF","yieldQF","DataFile"
8,"24-252.22",NA,"N2_CO2+He_2.met",5.101,2,0,195.6,280.2,71.684,1.6092833,"38.1","27.3",2639,1844,0.6987115,8.328,"2024/10/01 13:42:43","Bkgrnd 29: 32",317,103.4,278.4,1.6823655,"0.1","0.2","1.3",7486,8450,9917,1.1066187,1.3232343,-37.116,21.343,4.27226757068114,8.328,4.72902384785239,-25.471458337996,2.30166488561811,49.3750221391293,0,0,0,0,0,"241001_24-252.2.xls"
9,"24-252.23",NA,"N2_CO2+He_2.met",5.208,2,0,195,278.1,49.893,1.09707,"38.7","27.7",1748,1219,0.6973536,6.64,"2024/10/01 13:54:09","Bkgrnd 30: N/A",316.4,106.6,293.107,1.7348449,"0.2","0.3","1.7",7516,8469,9947,1.105777,1.3219785,-37.809,20.613,3.90988071235611,6.79979516597454,3.09832102753513,-26.2080257827712,1.56907544928656,50.9153356136837,0,0,0,0,1,"241001_24-252.2.xls"
10,"24-252.24",NA,"N2_CO2+He_2.met",5.102,2,0,196.4,280.9,44.274,0.9937438,"39.3","28.2",1454,1013,0.6970839,6.185,"2024/10/01 14:05:35","Primary He: 2400",317.8,107.2,286.971,1.7338165,"0.2","0.3","1.8",7291,8204,9647,1.1047537,1.3218243,-38.671,20.646,3.79039759730428,6.42652099374442,2.70001104195298,-27.124217900226,1.42129258718103,50.8851375465979,0,0,0,0,1,"241001_24-252.2.xls"
11,"24-252.25",NA,"N2_CO2+He_2.met",5.244,2,0,195.3,278.9,47.215,1.0310707,"39.6","28.4",1616,1127,0.6975013,6.965,"2024/10/01 14:17:00","Secondary He: 2500",317.1,107.4,293.405,1.7246857,"0.3","0.3","1.8",7438,8354,9840,1.1028301,1.3215155,-40.381,20.581,3.85471163871503,7.16253052472091,3.48538535253035,-28.9417219847362,1.47466202133528,50.6172123430472,0,0,0,0,1,"241001_24-252.2.xls"
13,"24-252.26",NA,"N2_CO2+He_2.met",5.172,2,0,195,277.5,56.599,1.2531895,"39.9","28.6",2088,1457,0.6981135,7.683,"2024/10/01 14:39:52","Peak Center: 58486",315.2,103.5,285.689,1.7027104,"0.2","0.2","1.7",7670,8659,10150,1.1064783,1.3221128,-36.948,21.088,4.03599131720854,7.75653616973349,4.11923145682179,-25.292896533202,1.79236075585558,49.9721918518892,0,0,0,0,1,"241001_24-252.2.xls"
14,"24-252.27",NA,"N2_CO2+He_2.met",5.219,2,0,195.6,280.5,57.891,1.2702439,"40.1","28.8",2005,1399,0.6977216,7.075,"2024/10/01 14:51:18","Job No-24-252.2",318,106,271.854,1.6056632,"0.3","0.3","1.9",7007,7887,9271,1.106075,1.3223054,-37.253,21.308,4.05856193208233,7.13309798683178,3.45397874951728,-25.617071238334,1.81676577227575,47.1239652000868,0,0,0,0,0,"241001_24-252.2.xls"
15,"24-252.28",NA,"N2_CO2+He_2.met",5.094,2,0,195.4,281.2,61.754,1.3882691,"40.1","28.8",2130,1485,0.6974411,6.694,"2024/10/01 15:02:44","Oxygen Tank: 1800",317.4,107,284.151,1.7194771,"0.3","0.3","2",7224,8129,9559,1.1049361,1.3219293,-38.233,21.113,4.12315875073806,6.70791409964697,3.00027742064543,-26.6586817662989,1.98555232901048,50.4642291957041,0,0,0,0,1,"241001_24-252.2.xls"
16,"24-252.29",NA,"N2_CO2+He_2.met",5.097,2,0,195.7,280.6,57.076,1.2823556,"40.2","28.9",1987,1384,0.6962915,5.238,"2024/10/01 15:14:09","CO2 Peak Center: 9",317.8,105.5,275.124,1.6638717,"0.3","0.3","2",7162,8061,9477,1.1046057,1.3219464,-38.802,21.218,4.04438371306833,5.30579581471917,1.50411788054803,-27.2634535932499,1.83406228465209,48.8323066755804,0,0,0,0,0,"241001_24-252.2.xls"
19,"24-252.30",NA,"N2_CO2+He_2.met",5.398,2,0,195.2,280.7,70.694,1.4997515,"39.5","28.3",2505,1745,0.6964656,5.364,"2024/10/01 15:48:26",NA,317.5,104.9,274.077,1.5651118,"0.2","0.2","1.8",7185,8098,9514,1.1061325,1.3225415,-36.56,21.949,4.25836070367182,5.364,1.56622586959404,-24.8805037935588,2.14498796516873,45.9338774806682,0,0,0,0,0,"241001_24-252.2.xls"
20,"24-252.31",NA,"N2_CO2+He_2.met",5.179,2,0,195.3,281.3,71.883,1.5894605,"39.9","28.6",2556,1782,0.6970416,6.322,"2024/10/01 15:59:51",NA,317.3,105.3,285.95,1.7019618,"0.2","0.2","1.9",7445,8380,9853,1.1037269,1.3219359,-38.833,21.554,4.27503979727147,6.322,2.58847973706081,-27.296402497706,2.27329327593145,49.9502407552919,0,0,0,0,1,"241001_24-252.2.xls"
21,"24-252.32",NA,"N2_CO2+He_2.met",5.221,2,0,195.7,281.3,55.611,1.2197575,"40","28.8",1874,1306,0.6971114,6.436,"2024/10/01 16:11:17",NA,317.1,107.1,290.505,1.7151625,"0.3","0.3","2",7366,8282,9745,1.1034718,1.3218726,-39.281,21.43,4.01838102341506,6.52158151887691,2.8014473566295,-27.7725673104899,1.74454507843841,50.3376937660699,0,0,0,0,1,"241001_24-252.2.xls"
22,"24-252.33",NA,"N2_CO2+He_2.met",5.079,2,0,195.5,281.3,68.197,1.537644,"40","28.7",2383,1664,0.6977744,7.263,"2024/10/01 16:22:43",NA,318.1,104.9,256.784,1.5584608,"0.3","0.3","2.1",6738,7578,8915,1.1052127,1.3222076,-37.551,21.811,4.22240057561211,7.263,3.59259340019883,-25.9338058682662,2.1991874174636,45.7386290214137,0,0,0,0,0,"241001_24-252.2.xls"
24,"24-252.34",NA,"N2_CO2+He_2.met",5.141,2,0,195.8,281.3,47.37,1.0551743,"39.7","28.4",1556,1088,0.6990864,9.204,"2024/10/01 16:45:34",NA,317.8,109.6,289.418,1.7353387,"0.2","0.2","1.9",7048,7910,9327,1.1034953,1.3220621,-39.144,21.733,3.85798911693566,9.39928874670514,5.87216483375319,-27.626954410152,1.5091449867366,50.9297248785515,0,0,0,0,1,"241001_24-252.2.xls"
25,"24-252.35",NA,"N2_CO2+He_2.met",5.165,2,0,196.2,282.6,46.043,1.020846,"39.5","28.4",1449,1012,0.6987641,8.804,"2024/10/01 16:57:00",NA,317.4,108,265.461,1.5842984,"0.3","0.4","2.1",6642,7461,8791,1.1045363,1.3226192,-38.305,22.152,3.82957574246061,9.01872334671286,5.46607459161733,-26.7352082540677,1.46005249789088,46.4968782882803,0,0,0,0,0,"241001_24-252.2.xls"
26,"24-252.36",NA,"N2_CO2+He_2.met",5.194,2,0,195.6,283.2,63.627,1.4028336,"39.7","28.5",2107,1472,0.6987447,8.564,"2024/10/01 17:08:26",NA,317.5,107.4,287.848,1.7083128,"0.3","0.3","2",7252,8171,9598,1.105959,1.3221119,-37.13,21.786,4.15303790856132,8.564,4.98085256676905,-25.4863384883955,2.00638691130952,50.1365755124749,0,0,0,0,1,"241001_24-252.2.xls"
27,"24-252.37",NA,"N2_CO2+He_2.met",5.392,2,0,195.6,280.8,55.384,1.1762603,"39.6","28.5",1909,1334,0.6984815,8.143,"2024/10/01 17:19:52",NA,317,108,298.424,1.7060401,"0.3","0.3","2.1",7488,8408,9907,1.1020132,1.3215109,-40.688,21.402,4.01429074337572,8.23137924909913,4.62592266175014,-29.2680224256395,1.68232391855127,50.0699617559014,0,0,0,0,1,"241001_24-252.2.xls"
29,"24-252.38",NA,"N2_CO2+He_2.met",5.176,2,0,196.2,278.2,50.948,1.1272044,"39.3","28.3",1829,1279,0.699199,9.174,"2024/10/01 17:42:45",NA,316.7,103.4,275.076,1.6381904,"0.2","0.3","2",7368,8307,9748,1.1062805,1.3218817,-36.737,21.628,3.93080550472751,9.31948271708397,5.78700614645943,-25.0686314093239,1.61215968632391,48.0786017474412,0,0,0,0,0,"241001_24-252.2.xls"
30,"24-252.39",NA,"N2_CO2+He_2.met",5.32,2,0,196.2,280.4,44.389,0.9555072,"39.5","28.4",1480,1033,0.6976903,7.204,"2024/10/01 17:54:11",NA,317.7,108.4,289.489,1.6773587,"0.3","0.3","1.9",7189,8089,9512,1.1056095,1.3218776,-37.445,21.667,3.79299169099589,7.44374664718368,3.78546287735454,-25.8211418723842,1.36659212420041,49.2281856475506,0,0,0,0,1,"241001_24-252.2.xls"
31,"24-252.40",NA,"N2_CO2+He_2.met",5.288,2,0,195.8,282.8,58.816,1.2737148,"39.3","28.3",1951,1360,0.6971269,6.394,"2024/10/01 18:05:37",NA,317.4,108.4,292.452,1.7047847,"0.3","0.3","2.2",7307,8229,9665,1.106018,1.3214958,-36.99,21.418,4.07441392673322,6.44125530513499,2.71573359602759,-25.3375369844005,1.82170992059256,50.0330001229477,0,0,0,0,1,"241001_24-252.2.xls"
32,"24-252.41",NA,"N2_CO2+He_2.met",5.28,2,0,196.4,281,40.129,0.8703366,"39.6","28.5",1285,895,0.6967385,5.756,"2024/10/01 18:17:03",NA,317.9,110.1,293.32,1.7124314,"0.3","0.4","2.2",7105,7960,9398,1.1023107,1.3216157,-40.414,21.565,3.69209926495513,6.06475654059259,2.31398274200887,-28.9767966249636,1.24480005656279,50.2575310623244,0,0,0,0,1,"241001_24-252.2.xls"
35,"24-252.42",NA,"N2_CO2+He_2.met",5.115,2,0,198.7,281,58.169,1.3023021,"41.5","30.1",2147,1497,0.698062,7.685,"2024/10/02 09:04:51",NA,320.5,104.5,278.433,1.6779597,"0.1","0.2","1.4",7403,8332,9775,1.1028631,1.3168386,-37.492,18.484,4.06335256678298,7.73982121767252,4.10139541883761,-25.8710966630111,1.86260662885295,49.2457169623,0,0,0,0,0,"241001_24-252.2.xls"
36,"24-252.43",NA,"N2_CO2+He_2.met",5.361,2,0,198.4,282.9,59.737,1.2760483,"41.7","30.3",2147,1499,0.6979954,7.671,"2024/10/02 09:16:18",NA,319.8,108.4,309.157,1.7776199,"0.3","0.3","1.7",7841,8818,10328,1.1020944,1.316563,-38.653,18.134,4.08995159391738,7.70762762178671,4.06704257134081,-27.1050862782838,1.8250416737701,52.1707011010502,0,0,0,0,1,"241001_24-252.2.xls"
37,"24-252.44",NA,"N2_CO2+He_2.met",5.393,2,0,198,284.2,59.372,1.2607216,"42.2","30.6",2056,1434,0.6974532,6.881,"2024/10/02 09:27:43",NA,319.6,108.9,300.948,1.7201529,"0.3","0.4","1.8",7588,8533,10005,1.1033023,1.3179343,-37.792,19.039,4.08382273476252,6.9218197294958,3.22852988138226,-26.1899570287147,1.80312752498512,50.4840789412446,0,0,0,0,1,"241001_24-252.2.xls"
